Data,Nous casos setmanals confirmats,Defuncions setmanals,Altes setmanals,Total de casos confirmats,Total de defuncions,Total d'altes
24/02/2020,14.0,0.0,0.0,14,0,0.0
02/03/2020,68.0,1.0,0.0,82,1,0.0
09/03/2020,821.0,11.0,0.0,903,12,0.0
16/03/2020,5022.0,233.0,646.0,5925,245,728.0
23/03/2020,10232.0,1165.0,3397.0,16157,1410,4125.0
30/03/2020,10667.0,1350.0,5963.0,26824,2760,10088.0
06/04/2020,7902.0,778.0,5514.0,34726,3538,15602.0
13/04/2020,6950.0,708.0,3668.0,41676,4009,13934.0
20/04/2020,7106.0,690.0,3963.0,48782,4699,17897.0
27/04/2020,2611.0,521.0,4001.0,51393,5220,21898.0
04/05/2020,2419.0,335.0,2556.0,56450,5555,24454.0
11/05/2020,997.0,401.0,1718.0,57564,5956,0.0
18/05/2020,497.0,109.0,0.0,57320,5575,0.0
25/05/2020,408.0,69.0,0.0,59019,5587,0.0
01/06/2020,165.0,49.0,0.0,59215,5587,0.0
08/06/2020,158.0,13.0,0.0,59897,5587,0.0
15/06/2020,157.0,23.0,0.0,60714,5666,0.0
22/06/2020,187.0,2.0,0.0,61417,5669,0.0
29/06/2020,131.0,12.0,0.0,62797,5674,0.0
06/07/2020,263.0,1.0,0.0,65086,5676,0.0
13/07/2020,500.0,6.0,0.0,69393,5678,0.0
20/07/2020,507.0,6.0,0.0,75613,5680,0.0
27/07/2020,522.0,16.0,0.0,80568,5687,0.0
03/08/2020,593.0,20.0,0.0,88572,5706,0.0
10/08/2020,762.0,9.0,0.0,94702,5710,0.0
17/08/2020,749.0,37.0,0.0,102032,5725,0.0
24/08/2020,690.0,25.0,0.0,110017,5741,0.0
31/08/2020,589.0,37.0,0.0,118233,5769,0.0
07/09/2020,554.0,26.0,0.0,123393,5780,0.0
14/09/2020,634.0,26.0,0.0,132024,5802,0.0
